"","lat","n"
"1",19.3117246,1
"2",19.3119419,1
"3",19.312944,1
"4",19.3140405,1
"5",19.316237,1
"6",19.320469340384,1
"7",19.322477,1
"8",19.3291117217084,1
"9",19.336004,1
"10",19.337492,1
"11",19.339495,1
"12",19.34038,1
"13",19.343793,1
"14",19.347423,1
"15",19.349196,1
"16",19.352684,1
"17",19.355945,1
"18",19.356016,1
"19",19.358229,1
"20",19.359786,1
"21",19.3605598,1
"22",19.3612963,1
"23",19.361748,1
"24",19.365472,1
"25",19.3656787284631,1
"26",19.371713,1
"27",19.3723335,1
"28",19.372355,1
"29",19.372659,1
"30",19.3732247,1
"31",19.3739051,1
"32",19.3743456324156,1
"33",19.376049,1
"34",19.3781014539711,1
"35",19.379758,1
"36",19.382784,1
"37",19.38526,1
"38",19.387324,1
"39",19.387434,1
"40",19.38745,1
"41",19.3882426128204,1
"42",19.3887109501058,1
"43",19.389583,1
"44",19.389596,1
"45",19.3906306,1
"46",19.39075,1
"47",19.394569,1
"48",19.3954272,1
"49",19.3957604,1
"50",19.3961920513366,1
"51",19.3975911,1
"52",19.4010769,1
"53",19.401608,1
"54",19.4016850104079,1
"55",19.40355,1
"56",19.405335,1
"57",19.4080579,1
"58",19.4084723991622,1
"59",19.408868,1
"60",19.4149460175237,1
"61",19.416358,1
"62",19.416605,1
"63",19.419187,1
"64",19.4194628,1
"65",19.419903,1
"66",19.425529,1
"67",19.426779,1
"68",19.4269958,1
"69",19.4276462676202,1
"70",19.428011,1
"71",19.4298975464125,1
"72",19.433946,1
"73",19.4340199,1
"74",19.4356338,1
"75",19.435882,1
"76",19.4358985,1
"77",19.4383737225727,1
"78",19.44145,1
"79",19.4517994,1
"80",19.4581497,1
"81",19.459611,1
"82",19.459936,1
"83",19.46363,1
"84",19.46426,1
"85",19.4698,1
"86",19.4707194637225,1
"87",19.4737133,1
"88",19.4742744420933,1
"89",19.474657,1
"90",19.48231,1
"91",19.4882623,1
"92",19.491156,1
"93",19.491686,1
"94",19.492334,1
"95",19.4941073,1
"96",19.497308,1
"97",19.497951,1
"98",19.5025950630915,1
"99",19.503269,1
"100",19.5051311,1
"101",19.508076,1
"102",19.5136358,1
"103",19.5138636,1
"104",19.5188057,1
"105",19.5229509,1
"106",19.5291461924111,1
"107",19.5317289,1
"108",19.5371479,1
"109",19.544937,1
"110",19.554314,1
"111",19.5583832475468,1
"112",19.571208,1
"113",19.599104,1
"114",19.601363,1
"115",19.606996,1
"116",19.615155,1
"117",19.621212,1
"118",19.651602,1
"119",19.666218,1
"120",19.6701988857647,1
"121",19.673106,1
"122",19.686547,1
"123",19.6985153925159,1
"124",20.0971840063503,1
"125",20.1183320636493,1
"126",20.387321,1
"127",20.5468464,1
"128",20.550921,1
"129",20.584311,1
"130",20.586674,1
"131",20.5958702,1
"132",20.6151542084723,1
"133",20.6152241,1
"134",20.6219021300751,1
"135",20.6281075597191,1
"136",20.6371111,1
"137",20.6374824089422,1
"138",20.6383479,1
"139",20.653408,1
"140",20.6591076899863,1
"141",20.6622598431925,1
"142",20.6651907715439,1
"143",20.6652785022657,1
"144",20.688669,1
"145",20.7014760942205,1
"146",20.7089999032846,1
"147",20.7090857,1
"148",20.7156103449442,1
"149",20.7309474753702,1
"150",20.7377310006332,1
